Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/09/2020 14:42:46,320;37,879542;-25,597569;26,241619;24,864934;65,517001;25,647442;60,527155;25,23854;
18/09/2020 14:45:04,321;37,853326;-25,875001;29,588655;27,704845;65,002569;25,647442;55,485809;26,884815;
18/09/2020 14:45:05,320;37,852864;-25,87485;29,624805;27,740517;65,054012;25,698881;55,588693;26,267462;
18/09/2020 14:45:06,320;37,852247;-25,866526;29,663724;27,774036;65,002569;25,647442;55,691578;26,370354;
18/09/2020 14:45:07,320;37,850859;-25,863347;29,700645;27,805557;65,054012;25,75032;55,640136;26,370354;
18/09/2020 14:45:08,320;37,851784;-25,870612;29,776024;27,867216;65,414114;25,75032;55,588693;26,473247;
18/09/2020 14:45:09,320;37,851784;-25,867736;29,815561;27,895662;64,899682;25,698881;55,794463;26,524693;
18/09/2020 14:45:10,320;37,851321;-24,509571;29,850329;27,92457;64,899682;25,698881;55,74302;26,576139;
18/09/2020 14:45:11,320;37,851321;-24,493673;29,889404;27,951633;64,899682;25,647442;55,794463;26,987708;
18/09/2020 14:45:12,320;37,85163;-24,496247;29,955711;28,007298;64,951125;25,698881;55,897347;26,473247;
18/09/2020 14:45:13,320;37,852247;-24,495944;29,990635;28,031747;65,002569;25,647442;56,051674;26,576139;
18/09/2020 14:45:14,320;37,852555;-24,492008;30,023404;28,057735;64,899682;25,647442;56,051674;26,524693;
18/09/2020 14:45:15,320;37,852709;-24,493067;30,054328;28,083722;64,899682;25,647442;56,206001;26,627585;
18/09/2020 14:45:16,320;37,853789;-24,49443;30,085406;28,109095;64,796796;25,698881;56,103116;26,679031;
18/09/2020 14:45:17,320;37,853635;-24,493522;30,157871;28,158303;64,642466;25,75032;56,308886;26,679031;
18/09/2020 14:45:18,319;37,851321;-24,495339;30,19495;28,181831;64,745353;25,75032;56,103116;26,679031;
18/09/2020 14:45:19,321;37,851784;-24,486708;30,238954;28,20659;64,745353;25,698881;56,257443;26,730477;
18/09/2020 14:45:20,320;37,853326;-24,480349;30,279727;28,230426;64,642466;25,698881;56,000232;26,730477;
18/09/2020 14:45:21,320;37,854097;-24,475807;30,361428;28,275791;64,488136;25,698881;56,103116;26,781923;
18/09/2020 14:45:22,321;37,854097;-24,481409;30,399586;28,299628;64,436693;25,647442;55,794463;26,833369;
18/09/2020 14:45:23,320;37,854868;-24,474141;30,44113;28,321004;64,436693;25,698881;55,434366;26,781923;
18/09/2020 14:45:24,320;37,855794;-24,467782;30,48206;28,344687;64,333807;25,647442;55,588693;26,884815;
18/09/2020 14:45:25,320;37,859032;-24,473687;30,562842;28,385748;64,282364;25,698881;55,228597;26,833369;
18/09/2020 14:45:26,320;37,861345;-24,468993;30,603158;28,40697;64,179477;25,596003;54,971386;26,884815;
18/09/2020 14:45:27,320;37,863041;-24,455215;30,64055;28,425733;64,025147;25,698881;54,868501;26,884815;
18/09/2020 14:45:28,320;37,864584;-24,457486;30,677173;28,447417;64,025147;25,698881;54,714174;26,936261;
18/09/2020 14:45:29,321;37,870135;-24,461726;30,762115;28,483866;64,025147;25,698881;54,765616;26,987708;
18/09/2020 14:45:30,320;37,87214;-24,456578;30,803817;28,503705;64,128034;25,698881;54,508405;26,936261;
18/09/2020 14:45:31,320;37,874145;-24,453701;30,845213;28,522621;64,076591;25,698881;54,354078;26,987708;
18/09/2020 14:45:32,320;37,874916;-24,444768;30,888609;28,541692;64,179477;25,647442;54,354078;27,0906;
18/09/2020 14:45:33,320;37,876304;-24,438408;30,924927;28,56107;63,922261;25,698881;54,251193;27,039154;
18/09/2020 14:45:34,319;37,876612;-24,458546;30,996641;28,599212;63,922261;25,647442;54,251193;27,0906;
18/09/2020 14:45:35,320;37,875224;-24,454004;31,02942;28,615822;63,767931;25,647442;54,148309;27,142046;
18/09/2020 14:45:36,320;37,875533;-24,454609;31,057583;28,634893;63,767931;25,596003;54,045424;27,0906;
18/09/2020 14:45:37,320;37,874145;-24,444465;31,08944;28,650734;63,510715;25,596003;54,148309;27,0906;
18/09/2020 14:45:38,320;37,875687;-24,441436;31,145767;28,685955;63,459272;25,647442;53,942539;27,0906;
18/09/2020 14:45:39,320;37,876612;-24,44613;31,173777;28,705026;63,304942;25,698881;53,891097;27,0906;
18/09/2020 14:45:40,320;37,874762;-24,435834;31,200402;28,722098;63,202056;25,647442;53,839655;27,142046;
18/09/2020 14:45:41,320;37,875841;-24,440679;31,227181;28,738555;63,150613;25,698881;53,891097;27,193492;
18/09/2020 14:45:42,320;37,87692;-24,445979;31,277201;28,773161;63,202056;25,698881;53,891097;27,193492;
18/09/2020 14:45:43,319;37,878771;-24,44401;31,300133;28,791003;63,253499;25,698881;53,633885;27,0906;
18/09/2020 14:45:44,320;37,87692;-24,443405;31,32445;28,806229;62,94484;25,698881;53,633885;27,399276;
18/09/2020 14:45:45,321;37,87985;-24,434774;31,346151;28,823302;62,841953;25,647442;53,633885;27,244938;
18/09/2020 14:45:46,319;37,882935;-24,439014;31,388323;28,857755;62,841953;25,596003;53,428116;27,244938;
18/09/2020 14:45:47,320;37,884785;-24,438408;31,414642;28,87452;62,636181;25,596003;53,479559;27,450722;
18/09/2020 14:45:48,321;37,886173;-24,434169;31,4425;28,895593;62,584737;25,647442;53,633885;27,296384;
18/09/2020 14:45:49,321;37,888795;-24,432806;31,478978;28,916972;62,636181;25,647442;53,788212;27,34783;
18/09/2020 14:45:50,320;37,891108;-24,432503;31,515918;28,940813;62,533294;25,647442;53,788212;27,244938;
18/09/2020 14:45:51,319;37,893575;-24,421299;31,592262;28,993572;62,584737;25,698881;54,096866;27,34783;
18/09/2020 14:45:52,319;37,894809;-24,421602;31,632436;29,021105;62,687624;25,698881;54,045424;27,296384;
18/09/2020 14:45:53,320;37,894963;-24,420542;31,671225;29,050484;62,636181;25,698881;54,354078;27,399276;
18/09/2020 14:45:54,320;37,896968;-24,416151;31,708475;29,078171;62,636181;25,698881;54,765616;27,399276;
18/09/2020 14:45:55,320;37,89959;-24,420844;31,776203;29,1357;62,687624;25,647442;54,817059;27,399276;
18/09/2020 14:45:56,319;37,90144;-24,423267;31,807451;29,163081;62,687624;25,698881;55,177155;27,399276;
18/09/2020 14:45:57,321;37,902828;-24,422661;31,838545;29,192;62,533294;25,75032;55,228597;27,399276;
18/09/2020 14:45:58,320;37,903445;-24,419785;31,865175;29,219688;62,276078;25,698881;55,640136;27,553615;
18/09/2020 14:45:59,319;37,905141;-24,413425;31,922439;29,274604;62,378964;25,698881;56,103116;27,502169;
18/09/2020 14:46:00,320;37,906067;-24,417059;31,953534;29,303063;62,224635;25,647442;56,051674;27,502169;
18/09/2020 14:46:01,320;37,907454;-24,405855;31,983552;29,33306;62,121748;25,698881;56,360328;27,502169;
18/09/2020 14:46:02,320;37,908842;-24,402221;32,014956;29,360749;62,018862;25,441686;56,360328;27,553615;
18/09/2020 14:46:03,320;37,908534;-24,409186;32,076071;29,41536;61,915975;25,596003;56,514655;27,553615;
18/09/2020 14:46:04,320;37,908997;-24,405855;32,107629;29,441974;61,864532;25,647442;56,566097;27,605061;
18/09/2020 14:46:05,320;37,910076;-24,40964;32,137187;29,466742;61,915975;25,647442;56,463213;27,605061;
