Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:49:34,070;14:49:34;0,00;34,938016;-97,168766;24,036175;21,530897;74,725337;21,58376;47,820904;20,505499;
18/08/2020 14:49:35,070;14:49:35;0,02;34,937553;-97,171286;24,04155;21,537036;74,77678;21,635199;47,615135;20,505499;
18/08/2020 14:49:36,071;14:49:36;0,03;34,936167;-97,174844;24,046157;21,540566;74,77678;21,635199;47,563693;20,505499;
18/08/2020 14:49:37,070;14:49:37;0,05;34,935242;-97,17855;24,056293;21,549775;74,725337;21,635199;47,306481;20,402607;
18/08/2020 14:49:38,069;14:49:38;0,07;34,934626;-97,179588;24,060593;21,555914;74,77678;21,686638;47,203597;20,556945;
18/08/2020 14:49:39,070;14:49:39;0,08;34,933085;-97,182257;24,06689;21,560518;74,725337;21,635199;47,100712;20,402607;
18/08/2020 14:49:40,069;14:49:40;0,10;34,932161;-97,183887;24,070269;21,565736;74,673894;21,58376;46,843501;20,505499;
18/08/2020 14:49:41,070;14:49:41;0,12;34,933393;-97,185963;24,077026;21,571875;74,725337;21,635199;46,843501;20,454053;
18/08/2020 14:49:42,070;14:49:42;0,13;34,928617;-97,180329;24,088698;21,581391;74,725337;21,532321;46,689174;20,505499;
18/08/2020 14:49:43,069;14:49:43;0,15;34,928771;-97,180181;24,093919;21,585381;74,673894;21,686638;46,586289;20,454053;
18/08/2020 14:49:44,069;14:49:44;0,17;34,927693;-97,180181;24,09822;21,591213;74,673894;21,58376;46,483404;20,402607;
18/08/2020 14:49:45,071;14:49:45;0,18;34,928771;-97,186407;24,102366;21,597352;74,673894;21,532321;46,38052;20,505499;
18/08/2020 14:49:46,070;14:49:46;0,20;34,928617;-97,185518;24,113885;21,609323;74,673894;21,686638;46,431962;20,454053;
18/08/2020 14:49:47,071;14:49:47;0,22;34,927538;-97,191003;24,118645;21,611319;74,725337;21,635199;46,226193;20,454053;
18/08/2020 14:49:48,071;14:49:48;0,23;34,927076;-97,190558;24,124942;21,619453;74,725337;21,532321;46,071866;20,454053;
18/08/2020 14:49:49,070;14:49:49;0,25;34,927693;-97,203011;24,13001;21,624978;74,673894;21,635199;46,071866;20,505499;
18/08/2020 14:49:50,069;14:49:50;0,27;34,925998;-97,208496;24,142143;21,636643;74,673894;21,532321;46,174751;20,556945;
18/08/2020 14:49:51,069;14:49:51;0,28;34,924765;-97,211165;24,147672;21,644623;74,725337;21,58376;46,071866;20,556945;
18/08/2020 14:49:52,070;14:49:52;0,30;34,925227;-97,212795;24,154737;21,650149;74,725337;21,635199;46,020424;20,608391;
18/08/2020 14:49:53,071;14:49:53;0,32;34,924611;-97,208051;24,159805;21,656441;74,673894;21,480882;46,020424;20,608391;
18/08/2020 14:49:54,070;14:49:54;0,33;34,923841;-97,218132;24,171938;21,671789;74,725337;21,58376;46,071866;20,556945;
18/08/2020 14:49:55,070;14:49:55;0,35;34,92153;-97,219022;24,178081;21,678696;74,828224;21,58376;46,020424;20,608391;
18/08/2020 14:49:56,069;14:49:56;0,37;34,924303;-97,220801;24,185146;21,68637;74,828224;21,58376;46,020424;20,608391;
18/08/2020 14:49:57,071;14:49:57;0,38;34,921992;-97,222728;24,192671;21,692816;74,828224;21,480882;46,020424;20,659837;
18/08/2020 14:49:58,069;14:49:58;0,40;34,921684;-97,22421;24,198354;21,700337;74,879667;21,58376;46,020424;20,659837;
18/08/2020 14:49:59,070;14:49:59;0,42;34,918294;-97,228954;24,213558;21,71676;74,77678;21,532321;46,020424;20,659837;
18/08/2020 14:50:00,070;14:50:00;0,43;34,919681;-97,229251;24,22093;21,724587;74,828224;21,58376;46,174751;20,556945;
18/08/2020 14:50:01,070;14:50:01;0,45;34,919372;-97,231623;24,22692;21,733029;74,828224;21,532321;46,071866;20,608391;
18/08/2020 14:50:02,069;14:50:02;0,47;34,916137;-97,23948;24,236135;21,743159;74,828224;21,58376;46,174751;20,659837;
18/08/2020 14:50:03,070;14:50:03;0,48;34,916907;-97,242444;24,260555;21,772167;74,77678;21,532321;46,38052;20,608391;
18/08/2020 14:50:04,071;14:50:04;0,50;34,914134;-97,248226;24,287125;21,798567;74,77678;21,532321;46,277635;20,608391;
18/08/2020 14:50:05,070;14:50:05;0,52;34,913826;-97,250153;24,322297;21,83218;74,879667;21,635199;46,329077;20,659837;
18/08/2020 14:50:06,070;14:50:06;0,53;34,913364;-97,259048;24,362076;21,870399;74,77678;21,635199;46,586289;20,659837;
18/08/2020 14:50:07,070;14:50:07;0,55;34,910282;-97,26394;24,44348;21,95835;74,828224;21,480882;46,483404;20,711283;
18/08/2020 14:50:08,070;14:50:08;0,57;34,911052;-97,257121;24,487101;22,004398;74,725337;21,635199;46,483404;20,711283;
18/08/2020 14:50:09,071;14:50:09;0,58;34,910282;-97,266757;24,526729;22,054438;74,828224;21,532321;46,483404;20,762729;
18/08/2020 14:50:10,071;14:50:10;0,60;34,909358;-97,267498;24,565896;22,106014;74,828224;21,532321;46,637731;20,762729;
