Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:27:57,620;39,738925;18,168331;24,882325;24,319605;62,533294;25,030174;65,517059;26,524693;
15/10/2020 14:27:58,620;39,736302;18,163424;24,880943;24,321448;62,584737;25,081613;65,414174;26,4218;
15/10/2020 14:48:42,620;39,437596;17,473519;28,126367;28,064962;68,346378;24,927296;55,948789;25,804447;
15/10/2020 14:48:43,621;39,435745;17,471066;28,261219;28,16061;68,140605;24,927296;55,845905;25,804447;
15/10/2020 14:48:44,621;39,434356;17,469533;28,322727;28,210588;68,140605;24,978735;56,103116;25,907339;
15/10/2020 14:48:45,620;39,430499;17,469533;28,378085;28,25949;68,192048;24,875857;56,206001;26,010232;
15/10/2020 14:48:46,622;39,430036;17,468307;28,433597;28,315929;68,294935;24,875857;56,257443;26,010232;
15/10/2020 14:48:47,620;39,42695;17,466774;28,534322;28,432961;68,294935;24,772979;56,41177;25,907339;
15/10/2020 14:48:48,622;39,426488;17,465854;28,579227;28,495708;68,346378;24,824418;56,41177;25,958786;
15/10/2020 14:48:49,620;39,42587;17,466467;28,627361;28,553842;68,346378;24,824418;56,41177;26,010232;
15/10/2020 14:48:50,620;39,42587;17,466314;28,669345;28,609362;68,397821;24,824418;56,41177;26,010232;
15/10/2020 14:48:51,620;39,424019;17,466314;28,712098;28,662577;68,346378;24,927296;56,41177;26,010232;
15/10/2020 14:48:52,620;39,42587;17,463248;28,787916;28,751167;68,449264;24,875857;56,566097;26,061678;
15/10/2020 14:48:53,620;39,423248;17,462481;28,820521;28,792541;68,346378;24,772979;56,514655;26,010232;
15/10/2020 14:48:54,620;39,423093;17,464014;28,855278;28,834376;68,397821;24,772979;56,617539;26,16457;
15/10/2020 14:48:55,622;39,421705;17,461715;28,88696;28,874982;68,500708;24,824418;56,463213;26,113124;
15/10/2020 14:48:56,620;39,420625;17,460795;28,94525;28,953887;68,552151;24,875857;56,514655;26,216016;
15/10/2020 14:48:57,621;39,419545;17,458649;28,974318;28,995417;68,552151;24,927296;56,668982;26,16457;
15/10/2020 14:48:58,620;39,419236;17,459569;29,010154;29,038486;68,552151;24,875857;56,771866;26,318908;
15/10/2020 14:48:59,620;39,415379;17,458189;29,052757;29,084785;68,552151;24,875857;56,771866;26,318908;
15/10/2020 14:49:00,620;39,414762;17,454817;29,153501;29,178463;68,500708;24,875857;56,977636;26,318908;
15/10/2020 14:49:01,621;39,413065;17,45267;29,203951;29,222149;68,449264;24,824418;56,926193;26,318908;
15/10/2020 14:49:02,620;39,412756;17,452057;29,253324;29,263529;68,500708;24,875857;56,977636;26,318908;
15/10/2020 14:49:03,620;39,411831;17,450371;29,301315;29,302601;68,449264;24,875857;57,183405;26,318908;
15/10/2020 14:49:04,620;39,409516;17,449604;29,385914;29,368133;68,449264;24,875857;57,234847;26,4218;
15/10/2020 14:49:05,622;39,407202;17,449145;29,428677;29,399515;68,294935;24,824418;57,389174;26,4218;
15/10/2020 14:49:06,621;39,408128;17,447458;29,465594;29,429052;68,140605;24,875857;57,440616;26,370354;
15/10/2020 14:49:07,620;39,407202;17,447765;29,499435;29,463357;68,140605;24,772979;57,594943;26,473247;
15/10/2020 14:49:08,620;39,404271;17,446232;29,533585;29,503201;68,140605;25,030174;57,697828;26,473247;
