time;sensor_PT100_1;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2 
0.0;37,83;27,90;25,56;54,87;25,44;40,62;25,44 
0.6;37,83;27,90;25,58;54,87;25,39;40,57;25,39 
1.6;37,84;27,91;25,60;54,92;25,34;40,46;25,39 
2.6;37,84;27,94;25,62;54,97;25,44;40,57;25,39 
3.6;37,84;27,95;25,63;55,02;25,49;40,57;25,44 
4.6;37,84;27,97;25,65;55,07;25,49;40,67;25,39 
5.6;37,84;27,99;25,66;54,97;25,49;40,57;25,39 
6.6;37,85;28,02;25,69;55,07;25,44;40,57;25,44 
7.6;37,85;28,04;25,71;55,02;25,44;40,67;25,55 
8.6;37,86;28,06;25,72;55,02;25,39;40,62;25,44 
9.6;37,86;28,08;25,74;55,02;25,39;40,52;25,44 
10.6;37,86;28,11;25,77;54,77;25,44;40,72;25,44 
11.6;37,86;28,13;25,78;54,87;25,49;40,77;25,50 
12.6;37,87;28,14;25,79;54,92;25,49;40,67;25,44 
13.6;37,87;28,15;25,81;54,87;25,44;40,82;25,50 
14.6;37,88;28,18;25,84;54,87;25,44;40,88;25,50 
15.6;37,88;28,19;25,85;54,82;25,44;40,88;25,50 
16.6;37,88;28,21;25,87;54,71;25,44;41,03;25,50 
17.6;37,88;28,22;25,88;54,71;25,39;40,93;25,50 
18.6;37,89;28,23;25,90;54,66;25,44;40,98;25,55 
19.6;37,89;28,25;25,92;54,71;25,44;41,13;25,55 
20.6;37,89;28,26;25,94;54,61;25,44;41,13;25,60 
21.6;37,90;28,27;25,95;54,61;25,49;41,18;25,50 
22.6;37,90;28,28;25,97;54,51;25,49;41,08;25,50 
23.6;37,92;28,30;25,99;54,41;25,39;41,18;25,60 
24.6;37,92;28,31;26,01;54,46;25,39;41,13;25,55 
25.6;37,92;28,32;26,03;54,46;25,60;41,08;25,50 
26.6;37,93;28,34;26,05;54,46;25,39;41,18;25,55 
27.6;37,93;28,36;26,09;54,35;25,44;41,18;25,55 
28.6;37,94;28,37;26,11;54,41;25,44;41,29;25,65 
29.6;37,94;28,38;26,13;54,41;25,44;41,24;25,55 
30.6;37,94;28,39;26,15;54,56;25,49;41,24;25,55 
31.6;37,95;28,41;26,19;54,46;25,44;41,49;25,65 
32.6;37,95;28,42;26,20;54,56;25,44;41,39;25,60 
33.6;37,96;28,43;26,22;54,35;25,39;41,39;25,50 
34.6;37,96;28,44;26,24;54,41;25,39;41,54;25,60 
35.6;37,96;28,45;26,26;54,35;25,44;41,60;25,70 
36.6;37,96;28,47;26,29;54,56;25,49;41,60;25,60 
37.6;37,97;28,49;26,31;54,56;25,44;41,54;25,55 
38.6;37,97;28,50;26,33;54,61;25,44;41,75;25,65 
39.6;37,97;28,51;26,35;54,56;25,44;41,91;25,70 
40.6;37,97;28,53;26,39;54,46;25,49;41,91;25,65 
41.6;37,97;28,54;26,41;54,61;25,44;41,96;25,60 
