time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:00:21,314;1,00;42,529785;20,214659;24,732402;23,805847;59,240928;23,641321;53,016578;23,798049
15:00:22,314;2,00;42,530712;20,216961;24,732709;23,80769;59,189485;23,641321;52,965135;23,849495
15:12:17,313;3,00;42,806683;20,475333;25,636806;24,438341;54,765368;24,155711;45,608885;24,209618
15:12:18,314;4,00;42,806219;20,475793;25,666614;24,461382;54,816811;24,155711;45,608885;24,209618
15:12:19,313;5,00;42,806528;20,476867;25,682286;24,475667;54,765368;24,20715;45,866097;24,158172
15:12:20,314;6,00;42,808536;20,476253;25,698573;24,489953;54,662481;24,258589;45,71177;24,158172
15:12:21,314;7,00;42,809154;20,476714;25,713785;24,504392;54,662481;24,20715;46,071866;24,261064
15:12:22,314;8,00;42,811316;20,477481;25,745437;24,531735;54,765368;24,20715;46,277635;24,106726
15:12:23,313;9,00;42,809617;20,477788;25,760956;24,544638;54,611038;24,258589;46,277635;24,106726
15:12:24,314;10,00;42,806374;20,478248;25,776322;24,557388;54,713925;24,104272;46,38052;24,158172
15:12:25,314;11,00;42,805911;20,477941;25,793377;24,571367;54,713925;24,20715;46,483404;24,106726
15:12:26,313;12,00;42,806219;20,479015;25,80905;24,586575;54,765368;24,155711;46,689174;24,158172
15:12:27,313;13,00;42,807764;20,480856;25,842394;24,61484;54,765368;24,258589;46,792058;24,05528
15:12:28,314;14,00;42,806219;20,481317;25,858528;24,628051;54,713925;24,258589;46,843501;24,158172
15:12:29,314;15,00;42,807146;20,483158;25,874047;24,642951;54,508152;24,20715;47,100712;24,209618
15:12:30,314;16,00;42,8073;20,483465;25,890642;24,656623;54,662481;24,20715;47,152154;24,209618
15:12:31,314;17,00;42,806837;20,484079;25,923987;24,684582;54,662481;24,20715;47,306481;24,209618
15:12:32,313;18,00;42,808536;20,484385;25,940428;24,700865;54,559595;24,20715;47,615135;24,261064
15:12:33,313;19,00;42,808227;20,484232;25,958714;24,724062;54,611038;24,155711;47,666578;24,31251
15:12:34,314;20,00;42,806992;20,482851;25,978691;24,752021;54,559595;24,258589;47,820904;24,363956
15:12:35,314;21,00;42,804057;20,479936;26,022946;24,837128;54,353822;24,20715;47,923789;24,31251
15:12:36,314;22,00;42,804829;20,48055;26,049377;24,889515;54,456709;24,155711;48,026674;24,261064
15:12:37,314;23,00;42,803903;20,48055;26,075039;24,945743;54,353822;24,20715;48,129558;24,261064
15:12:38,314;24,00;42,802976;20,478708;26,103929;25,001204;54,456709;24,20715;48,129558;24,261064
15:12:39,313;25,00;42,802667;20,475026;26,163399;25,11474;54,456709;24,310028;48,438212;24,261064
15:12:40,314;26,00;42,80066;20,475026;26,192905;25,167899;54,250936;24,20715;48,541097;24,31251
15:12:41,314;27,00;42,799887;20,472878;26,223639;25,220445;54,148049;24,155711;48,489654;24,261064
15:12:42,314;28,00;42,796799;20,47165;26,254528;25,270686;54,250936;24,361467;48,798308;24,261064
15:12:43,314;29,00;42,794791;20,468275;26,287722;25,317395;54,302379;24,20715;48,798308;24,261064
15:12:44,314;30,00;42,789386;20,465513;26,35196;25,409277;54,302379;24,258589;49,106962;24,31251
15:12:45,314;31,00;42,787687;20,461831;26,384541;25,4523;54,250936;24,20715;49,364174;24,415403
15:12:46,314;32,00;42,787069;20,45999;26,416661;25,495169;54,250936;24,310028;49,467058;24,363956
15:12:47,313;33,00;42,783208;20,457074;26,450932;25,535274;54,302379;24,361467;49,621385;24,363956
15:12:48,314;34,00;42,780119;20,453238;26,516096;25,613332;54,199492;24,155711;49,569943;24,415403
15:12:49,314;35,00;42,777803;20,452318;26,548678;25,650826;54,250936;24,155711;49,878597;24,415403
15:12:50,314;36,00;42,775332;20,448636;26,582182;25,687244;54,199492;24,258589;50,032924;24,466849
15:12:51,314;37,00;42,773942;20,448636;26,619222;25,721357;54,250936;24,258589;50,084366;24,415403
15:12:52,314;38,00;42,773633;20,445874;26,682698;25,789432;54,250936;24,310028;50,39302;24,466849
15:12:53,315;39,00;42,772243;20,44572;26,714667;25,823086;54,199492;24,20715;50,290135;24,415403
15:12:54,314;40,00;42,77317;20,446334;26,745406;25,855357;54,302379;24,20715;50,495905;24,415403
15:12:55,314;41,00;42,772552;20,44572;26,775839;25,886859;54,302379;24,310028;50,650232;24,466849
15:12:56,314;42,00;42,772552;20,444953;26,834553;25,947715;54,199492;24,20715;50,547347;24,415403
15:12:57,314;43,00;42,772552;20,447101;26,864371;25,977989;54,096606;24,20715;50,547347;24,415403
15:12:58,314;44,00;42,773787;20,447868;26,892038;26,008725;54,148049;24,361467;50,753116;24,363956
15:12:59,314;45,00;42,773478;20,448482;26,918783;26,036694;54,096606;24,258589;50,856001;24,518295
15:13:00,314;46,00;42,775641;20,44971;26,945067;26,063588;54,045163;24,258589;50,958885;24,466849
15:13:01,313;47,00;42,77456;20,451244;26,999941;26,120451;54,045163;24,20715;50,958885;24,518295
15:13:02,314;48,00;42,77456;20,451551;27,025304;26,147499;54,250936;24,20715;51,370424;24,569741
