time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
0.0;38,60133;-18,771966;27,768735;26,252007;53,273515;27,190613;52,605039;26,318908
1.0;38,600713;-18,716911;27,767505;26,250931;53,222071;27,036296;52,39927;26,267462
62.0;38,617217;-17,088992;27,900959;26,53696;48,026306;27,139174;44,888693;26,267462
63.0;38,6166;-17,06699;27,917411;26,562168;48,026306;27,139174;44,940135;26,16457
64.0;38,616292;-17,04605;27,937091;26,588297;48,026306;27,293491;45,300231;26,267462
65.0;38,615983;-17,026172;27,956925;26,617348;47,974863;27,087735;45,608885;26,216016
66.0;38,615675;-16,985201;27,999823;26,679907;48,026306;27,190613;45,557443;26,267462
67.0;38,617372;-16,964564;28,023809;26,710649;47,974863;27,190613;46,071866;26,370354
68.0;38,617372;-16,941499;28,048872;26,744619;47,974863;27,190613;46,071866;26,267462
69.0;38,617989;-16,919799;28,074703;26,783048;48,283522;27,190613;46,431962;26,679031
70.0;38,619531;-16,869723;28,130365;26,861289;48,077749;27,139174;46,740616;26,318908
71.0;38,622462;-16,846505;28,161886;26,906175;48,129193;27,190613;46,792058;26,318908
72.0;38,621845;-16,824198;28,199712;26,956442;48,129193;27,190613;47,203597;26,4218
73.0;38,623541;-16,803863;28,236924;27,006402;48,334965;27,190613;47,409366;26,370354
74.0;38,62277;-16,782921;28,278902;27,058054;48,232079;27,190613;47,71802;26,4218
75.0;38,624467;-16,740886;28,358094;27,158285;48,283522;27,190613;47,975231;26,576139
76.0;38,624004;-16,718426;28,399767;27,210093;48,437852;27,190613;47,872347;26,4218
77.0;38,624467;-16,690958;28,441901;27,26513;48,232079;27,190613;48,232443;26,524693
78.0;38,623696;-16,662428;28,484036;27,318631;48,283522;27,087735;48,232443;26,679031
79.0;38,626009;-16,600965;28,56431;27,430708;48,334965;27,242052;48,283885;26,576139
80.0;38,625701;-16,574407;28,603678;27,492668;48,386409;27,190613;48,026674;26,627585
81.0;38,627552;-16,546635;28,643201;27,550784;48,232079;27,087735;48,026674;26,627585
82.0;38,627552;-16,518558;28,681648;27,607057;48,334965;27,242052;47,71802;26,627585
83.0;38,62894;-16,467413;28,76131;27,716069;48,283522;27,087735;47,666578;26,627585
84.0;38,629711;-16,446621;28,802219;27,766194;48,334965;27,190613;47,563693;26,730477
85.0;38,630791;-16,421731;28,845128;27,815859;48,489295;27,242052;47,769462;26,627585
86.0;38,631716;-16,398511;28,887575;27,86168;48,437852;27,242052;47,872347;26,730477
87.0;38,632025;-16,353435;28,97401;27,954093;48,592181;27,139174;48,078116;26,730477
88.0;38,633413;-16,333856;29,017382;27,999609;48,489295;27,087735;48,38677;26,833369
89.0;38,631716;-16,309421;29,063062;28,041281;48,592181;27,139174;48,438212;26,730477
90.0;38,633413;-16,282405;29,10782;28,08403;48,386409;27,190613;49,106962;26,781923
91.0;38,633722;-16,252961;29,153193;28,125857;48,437852;27,242052;49,158405;26,730477
92.0;38,63295;-16,201963;29,24994;28,209665;48,334965;27,087735;49,518501;26,884815
93.0;38,633722;-16,175402;29,301161;28,253185;48,437852;27,190613;50,032924;26,936261
94.0;38,632488;-16,149751;29,35269;28,298397;48,334965;27,190613;50,032924;26,936261
95.0;38,632796;-16,126681;29,405142;28,341765;48,232079;27,087735;50,444462;26,884815
96.0;38,631716;-16,082512;29,513587;28,434652;48,386409;27,242052;50,856001;26,987708
97.0;38,629094;-16,058682;29,569734;28,480944;48,077749;27,190613;50,958885;27,0906
98.0;38,628169;-16,041075;29,624651;28,529081;48,129193;27,242052;51,216097;27,0906
99.0;38,625855;-16,020432;29,681415;28,576142;48,026306;27,087735;51,06177;27,039154
100.0;38,62277;-15,983244;29,795562;28,679956;48,077749;27,190613;51,318982;27,244938
101.0;38,621536;-15,824773;29,851252;28,743169;48,026306;27,139174;51,627635;27,34783
102.0;38,620302;-15,784092;29,91925;28,818842;48,129193;27,242052;51,73052;27,296384
103.0;38,61876;-15,758286;29,99125;28,907436;48,180636;27,242052;51,781962;27,399276
104.0;38,617989;-15,715934;30,148332;29,111089;48,077749;27,190613;51,833405;27,450722
105.0;38,614749;-15,69787;30,228953;29,220919;48,180636;27,190613;51,884847;27,605061
106.0;38,613361;-15,681324;30,31173;29,33306;48,077749;27,139174;51,73052;27,605061
107.0;38,612436;-15,667814;30,391124;29,441205;48,129193;27,190613;51,781962;27,707953
108.0;38,61151;-15,653392;30,468827;29,542123;48,129193;27,190613;51,781962;27,656507
109.0;38,60858;-15,628648;30,618391;29,724583;48,129193;27,190613;51,781962;27,707953
110.0;38,608117;-15,617263;30,69056;29,805047;48,334965;27,190613;51,627635;27,759399
111.0;38,606729;-15,607244;30,756267;29,880435;48,232079;27,190613;51,576193;27,913737
112.0;38,607191;-15,596769;30,822745;29,949364;48,283522;27,190613;51,473308;27,913737
113.0;38,603952;-15,582348;30,947395;30,076608;48,129193;27,190613;51,370424;27,965183
114.0;38,602718;-15,573998;31,007413;30,134923;48,077749;27,242052;51,524751;28,068076
115.0;38,602101;-15,561247;31,065278;30,188162;48,129193;27,242052;51,576193;28,01663
116.0;38,60241;-15,54637;31,123451;30,241094;48,437852;28,013637;51,679078;28,119522
117.0;38,60133;-15,541967;31,242572;30,367426;47,974863;27,190613;51,627635;28,119522
118.0;38,600713;-15,519196;31,303519;30,451752;47,92342;27,293491;51,576193;28,170968
119.0;38,599325;-15,502345;31,365852;30,539774;48,026306;27,293491;51,833405;28,27386
120.0;38,598708;-15,489745;31,428648;30,629491;47,76909;27,190613;51,833405;28,27386
121.0;38,600405;-15,480029;31,490984;30,717364;47,820533;27,242052;51,987732;28,376752
122.0;38,60025;-15,452096;31,619506;30,879419;47,717647;27,242052;51,936289;28,376752
123.0;38,598245;-15,441317;31,684154;30,953754;47,820533;27,242052;51,936289;28,325306
124.0;38,599942;-15,431601;31,748188;31,023936;47,666204;27,139174;51,833405;28,479644
125.0;38,599633;-15,420974;31,81253;31,091041;47,717647;27,34493;51,73052;28,428198
126.0;38,600096;-15,385753;31,941681;31,215558;47,76909;27,190613;51,679078;28,531091
127.0;38,599171;-15,371483;32,002795;31,273893;47,76909;27,242052;51,679078;28,428198
128.0;38,599479;-15,359337;32,063448;31,329305;47,717647;27,190613;51,524751;28,582537
129.0;38,60025;-15,351139;32,122254;31,379638;47,61476;27,190613;51,370424;28,685429
130.0;38,599325;-15,32776;32,230633;31,478613;47,717647;27,242052;51,370424;28,633983
131.0;38,598554;-15,319865;32,280822;31,523715;47,61476;27,190613;51,370424;28,685429
132.0;38,598708;-15,306961;32,331318;31,562044;47,61476;27,242052;51,164655;28,736875
133.0;38,598245;-15,296637;32,384741;31,60376;47,717647;27,190613;51,06177;28,736875
134.0;38,600405;-15,279633;32,488972;31,697046;47,666204;27,190613;50,907443;28,839767
135.0;38,597165;-15,272953;32,545631;31,74954;47,717647;27,293491;50,907443;28,788321
136.0;38,596703;-15,266728;32,606601;31,805421;47,511874;27,293491;50,907443;28,839767
137.0;38,595932;-15,260048;32,668035;31,86546;47,511874;27,293491;50,598789;28,942659
138.0;38,59624;-15,256708;32,736245;31,933198;47,511874;27,190613;50,495905;28,839767
139.0;38,595623;-15,241071;32,882985;32,099468;47,511874;27,242052;50,39302;28,942659
140.0;38,595932;-15,236061;32,960592;32,197849;47,357544;27,139174;50,444462;28,994105
141.0;38,595469;-15,232721;33,03974;32,302699;47,460431;27,293491;49,981481;28,994105
142.0;38,593926;-15,228925;33,123356;32,406783;47,460431;27,139174;49,672828;29,045552
143.0;38,595006;-15,215868;33,285667;32,59679;47,254658;27,242052;49,672828;29,045552
144.0;38,593464;-15,213591;33,364054;32,682866;47,306101;27,242052;49,209847;29,045552
145.0;38,593309;-15,209188;33,435512;32,759552;47,203215;27,293491;49,364174;29,096998
146.0;38,592847;-15,204633;33,504045;32,828385;47,306101;27,293491;48,849751;29,148444
147.0;38,592075;-15,201142;33,620478;32,947115;47,254658;27,190613;48,541097;29,19989
148.0;38,592384;-15,196739;33,670532;32,993776;47,048885;27,293491;48,592539;29,148444
149.0;38,59007;-15,19522;33,714736;33,03628;47,254658;27,242052;48,026674;29,19989
150.0;38,589762;-15,187933;33,752932;33,070469;47,254658;27,242052;47,71802;29,19989
151.0;38,588528;-15,182771;33,816389;33,122214;47,254658;27,242052;47,666578;29,19989
152.0;38,588065;-15,180038;33,844268;33,141157;47,254658;27,293491;47,100712;29,251336
153.0;38,588374;-15,176091;33,863829;33,155787;47,306101;27,293491;47,100712;29,302782
154.0;38,587911;-15,17184;33,88262;33,16703;47,306101;27,190613;46,483404;29,302782
155.0;38,587757;-15,170473;33,898793;33,177656;47,357544;27,242052;46,020424;30,228812
156.0;38,586831;-15,167589;33,926672;33,189669;47,254658;27,190613;45,968981;29,45712
157.0;38,587911;-15,162426;33,93884;33,193827;47,357544;27,34493;45,506001;29,508566
158.0;38,586831;-15,160605;33,947774;33,195059;47,151771;27,139174;45,557443;29,45712
159.0;38,587294;-15,154987;33,957324;33,195521;47,203215;27,293491;45,145904;29,405674
160.0;38,587757;-15,146485;33,972418;33,193981;47,254658;27,190613;44,682924;29,508566
161.0;38,58606;-15,143904;33,979504;33,190285;47,254658;27,293491;44,734366;29,508566
