Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15:17:16;0,00;40,417902;22,874354;31,255962;31,085346;37,171787;27,807881;47,100712;28,325306;
15:17:17;0,02;40,419137;22,875122;31,312138;31,123978;37,22323;27,910759;47,306481;28,428198;
15:17:18;0,03;40,418828;22,877425;31,369238;31,160763;37,171787;27,85932;47,409366;28,428198;
15:17:19;0,05;40,419908;22,874815;31,4759;31,227255;37,274673;27,807881;47,512251;28,428198;
15:17:20;0,07;40,420371;22,876964;31,526385;31,267582;37,274673;27,85932;47,71802;28,479644;
15:17:21;0,08;40,418365;22,877118;31,573946;31,304985;37,22323;27,910759;47,615135;28,531091;
15:17:22;0,10;40,419137;22,878039;31,621199;31,344081;37,22323;27,910759;47,769462;28,531091;
15:17:23;0,12;40,418674;22,877732;31,664606;31,387026;37,22323;27,910759;47,666578;28,633983;
15:17:24;0,13;40,419445;22,879574;31,753421;31,491697;37,22323;27,910759;47,71802;28,479644;
15:17:25;0,15;40,418828;22,880649;31,798215;31,550345;37,171787;27,85932;47,769462;28,531091;
15:17:26;0,17;40,419137;22,880342;31,839007;31,608994;37,22323;28,528027;47,71802;28,582537;
15:17:27;0,18;40,418519;22,879421;31,879029;31,668106;37,22323;27,910759;47,71802;28,582537;
15:17:28;0,20;40,417748;22,880803;31,960461;31,77648;37,22323;27,85932;47,563693;28,685429;
15:17:29;0,22;40,419291;22,882185;31,998638;31,827435;37,171787;27,807881;47,563693;28,685429;
15:17:30;0,23;40,417285;22,882492;32,036969;31,881471;37,22323;27,85932;47,71802;28,839767;
15:17:31;0,25;40,418519;22,883106;32,074685;31,93289;37,120343;27,85932;47,666578;28,839767;
15:17:32;0,27;40,418365;22,884488;32,147039;32,042196;37,171787;27,962198;47,563693;28,736875;
15:17:33;0,28;40,419754;22,885256;32,192762;32,093772;37,0689;27,85932;47,615135;28,839767;
15:17:34;0,30;40,421452;22,885716;32,246182;32,149967;37,0689;27,910759;47,615135;28,788321;
15:17:35;0,32;40,420371;22,885716;32,305608;32,197695;37,0689;27,85932;47,615135;28,891213;
15:17:36;0,33;40,422223;22,888941;32,435548;32,286071;37,120343;27,85932;47,563693;28,994105;
15:17:37;0,35;40,422841;22,888173;32,503906;32,324871;37,0689;27,910759;47,615135;28,839767;
15:17:38;0,37;40,422841;22,888941;32,56734;32,359514;37,017457;27,910759;47,666578;29,045552;
15:17:39;0,38;40,424075;22,890169;32,633084;32,389692;37,0689;27,85932;47,666578;28,942659;
15:17:40;0,40;40,42423;22,889094;32,691592;32,425413;37,0689;27,85932;47,615135;29,045552;
15:17:41;0,42;40,426082;22,889401;32,807227;32,504403;37,171787;27,962198;47,769462;29,096998;
15:17:42;0,43;40,42423;22,889862;32,868664;32,549826;37,22323;27,910759;47,563693;28,994105;
15:17:43;0,45;40,426853;22,889248;32,929179;32,591247;37,171787;27,910759;47,666578;29,096998;
15:17:44;0,47;40,426082;22,889555;32,987077;32,63236;37,171787;27,910759;47,563693;29,148444;
15:17:45;0,48;40,425927;22,88848;33,095946;32,707042;37,274673;27,910759;47,615135;29,096998;
15:17:46;0,50;40,425773;22,889708;33,145839;32,741535;37,171787;27,962198;47,512251;29,251336;
15:17:47;0,52;40,423612;22,888019;33,194501;32,774643;37,22323;27,85932;47,563693;29,251336;
15:17:48;0,53;40,424693;22,887098;33,238698;32,806672;37,171787;27,910759;47,409366;29,302782;
15:17:49;0,55;40,423149;22,885102;33,321241;32,863033;37,171787;28,013637;47,152154;29,251336;
15:17:50;0,57;40,422378;22,885256;33,35774;32,889058;37,171787;27,85932;47,100712;29,19989;
15:17:51;0,58;40,419908;22,884795;33,395162;32,914006;37,22323;27,962198;47,04927;29,354228;
