time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:54:28,285;39,683841;20,525199;34,083168;29,156159;52,24465;28,528027;41,544943;28,376752
15:54:29,285;39,683533;20,523818;34,096107;29,172925;52,347537;28,630905;41,544943;28,479644
15:54:30,285;39,682453;20,52213;34,109508;29,189231;52,347537;28,579466;41,647827;28,428198
15:54:31,285;39,679367;20,52213;34,123834;29,207843;52,296093;28,579466;41,750712;28,376752
15:54:32,285;39,679984;20,521517;34,150944;29,249992;52,296093;28,630905;41,956481;28,428198
15:54:33,285;39,678595;20,521363;34,169429;29,271682;52,347537;28,579466;42,213693;28,479644
15:54:34,286;39,677052;20,522284;34,18776;29,293371;52,296093;28,579466;42,213693;28,479644
15:54:35,285;39,678595;20,521056;34,209326;29,316292;52,193207;28,528027;42,316577;28,531091
15:54:36,285;39,676744;20,520596;34,249531;29,359826;52,39898;28,579466;42,316577;28,479644
15:54:37,286;39,676744;20,520136;34,268632;29,381824;52,296093;28,528027;42,522347;28,479644
15:54:38,285;39,676127;20,519675;34,288042;29,402746;52,24465;28,528027;42,831;28,531091
15:54:39,285;39,676281;20,517988;34,310532;29,423052;52,347537;28,579466;42,779558;28,479644
15:54:40,285;39,674584;20,516146;34,351971;29,463357;52,347537;28,528027;43,03677;28,479644
15:54:41,285;39,673966;20,516146;34,37323;29,481664;52,296093;28,579466;42,985327;28,582537
15:54:42,286;39,672578;20,5163;34,394796;29,50197;52,296093;28,579466;43,03677;28,531091
15:54:43,286;39,673504;20,515072;34,421293;29,519816;52,39898;28,579466;43,139654;28,582537
15:54:44,286;39,667332;20,509702;34,473517;29,554891;52,296093;28,579466;43,03677;28,582537
15:54:45,286;39,667332;20,510776;34,500938;29,572891;52,39898;28,528027;43,49975;28,633983
15:54:46,286;39,665789;20,508168;34,528206;29,589352;52,296093;28,630905;43,448308;28,633983
15:54:47,286;39,663474;20,505713;34,556707;29,605659;52,39898;28,579466;43,448308;28,582537
15:54:48,286;39,66224;20,504178;34,583359;29,622121;52,24465;28,528027;43,551193;28,582537
15:54:49,286;39,658846;20,50157;34,638204;29,653351;52,296093;28,579466;43,602635;28,531091
15:54:50,285;39,657148;20,499882;34,665473;29,669813;52,501866;28,528027;43,962731;28,633983
15:54:51,286;39,656686;20,496814;34,694283;29,686274;52,501866;28,579466;44,014174;28,685429
15:54:52,285;39,65468;20,49712;34,724171;29,703198;52,501866;28,630905;44,014174;28,633983
15:54:53,287;39,652828;20,4962;34,783179;29,738891;52,501866;28,630905;44,219943;28,633983
15:54:54,287;39,65252;20,495586;34,814763;29,757968;52,450423;28,476588;44,219943;28,633983
15:54:55,285;39,652057;20,494205;34,84419;29,777353;52,347537;28,579466;44,528597;28,736875
15:54:56,286;39,65144;20,494972;34,867763;29,797508;52,501866;28,630905;44,631481;28,633983
15:54:57,285;39,650051;20,49574;34,930933;29,849818;52,501866;28,579466;44,580039;28,685429
15:54:58,287;39,65144;20,496967;34,969606;29,88582;52,450423;28,579466;44,83725;28,685429
